"time","latitude","longitude","u10","v10","t2m","ssr","sp","tcc","tp"
2020-01-01 06:00:00,-3.37800002098083,39.9879989624023,-0.97135022156857,-2.54679496867529,301.414821015003,1518225.74132117,100813.071676674,0.0263226160865518,0
2020-01-01 07:00:00,-3.37800002098083,39.9879989624023,-1.6671098459355,-3.27146082829755,301.597416900318,2259280.42789129,100798.688072231,0.0387743579570598,0
2020-01-01 10:00:00,-3.37800002098083,39.9879989624023,-2.51316803577442,-3.82799768975407,303.097414504846,2898822.18131323,100553.824329918,0.141226557612195,4.05227088546949e-06
2020-01-01 11:00:00,-3.37800002098083,39.9879989624023,-2.96426493508924,-3.33175911196926,303.071020881476,3064191.68121404,100451.742888125,0.318785955167625,2.81407700379816e-06
2020-01-01 12:00:00,-3.37800002098083,39.9879989624023,-3.48980690699394,-2.56119050486718,302.789328937508,2578203.6510613,100406.932428128,0.769383364106633,0
2020-01-01 13:00:00,-3.37800002098083,39.9879989624023,-4.04351728474345,-2.03724731026024,302.434814587242,1924534.33862329,100414.624758709,0.800619535196008,0
2020-01-01 14:00:00,-3.37800002098083,39.9879989624023,-4.78414515556319,-1.74444753639487,301.692194002419,1328916.45050585,100435.752324211,0.618528069827415,0
2020-01-02 06:00:00,-3.37800002098083,39.9879989624023,-1.79769052731611,-3.93093935422065,300.806208054291,1302356.63955564,100900.058236881,0.570048677765401,4.50252320607697e-06
2020-01-02 07:00:00,-3.37800002098083,39.9879989624023,-1.58200101970438,-3.96271817939899,301.157963071206,1947343.9248165,100908.303783018,0.781392580837135,9.56786181291382e-06
2020-01-02 10:00:00,-3.37800002098083,39.9879989624023,-2.7465633984886,-3.49201130731302,302.697071226728,3075493.7284269,100709.383275411,0.639967649886317,6.74252850110055e-05
2020-01-02 11:00:00,-3.37800002098083,39.9879989624023,-3.31375437046384,-2.97350039051433,302.701870067341,2889934.66236858,100597.238579227,0.461050157935697,2.70151392364631e-05
2020-01-02 12:00:00,-3.37800002098083,39.9879989624023,-3.88416458882135,-2.19614143615192,302.453889978677,2470525.96488792,100575.55779817,0.240779454625914,5.5718724675205e-05
2020-01-02 13:00:00,-3.37800002098083,39.9879989624023,-4.54491490878116,-1.57061464653046,302.379148036134,1752023.99980163,100530.299497009,0.182335617169975,6.07840632820423e-06
2020-01-02 14:00:00,-3.37800002098083,39.9879989624023,-5.05395824297674,-1.31285306452839,301.631128755622,1189079.30271771,100582.881318382,0.187493323974181,3.37689240455501e-07
2020-01-03 06:00:00,-3.37800002098083,39.9879989624023,-1.16752304798782,-3.10794926626883,301.113813737568,1176081.94842293,101039.99542883,0.825660354325302,5.33548999920143e-05
2020-01-03 07:00:00,-3.37800002098083,39.9879989624023,-1.30253019314404,-2.79776620341703,301.345477768148,2069662.89942472,101034.990145232,0.93009628736667,5.9996121720978e-05
2020-01-03 10:00:00,-3.37800002098083,39.9879989624023,-2.5920395721399,-1.92344109017713,302.740980618335,2785853.08212656,100882.065559527,0.94793462835518,1.67718989426374e-05
2020-01-03 11:00:00,-3.37800002098083,39.9879989624023,-3.11717913824681,-1.41606634288538,302.707988589122,2664869.80400714,100811.491060801,0.972853371583782,7.31660020987512e-06
2020-01-03 12:00:00,-3.37800002098083,39.9879989624023,-3.56566039987605,-0.762291708660954,302.726584096496,2599523.42194009,100726.875424404,0.934857247493629,2.71277023166146e-05
2020-01-03 13:00:00,-3.37800002098083,39.9879989624023,-4.04734013982238,-0.297831956054484,302.351794644641,2000052.56318191,100688.440115095,0.902613950223552,0.000199349214949066
2020-01-03 14:00:00,-3.37800002098083,39.9879989624023,-4.1706775168429,-0.348080525780914,301.539110986873,1322083.84923626,100695.684604512,0.917873437809958,5.74071708774829e-06
2020-01-04 06:00:00,-3.37800002098083,39.9879989624023,-1.73551883155863,-1.88460030384805,300.562306980149,1178496.47669113,100989.073254124,0.402606320479758,0.000188205470014025
2020-01-04 07:00:00,-3.37800002098083,39.9879989624023,-1.18744213497808,-1.95521991535547,300.735065242207,1920527.24915691,100966.444103543,0.439244350174721,9.57911812092915e-05
2020-01-04 10:00:00,-3.37800002098083,39.9879989624023,-2.0713264698086,-1.13766210521191,302.283891049971,2639234.70601071,100766.496195619,0.61332458456045,0.000198786399548307
2020-01-04 11:00:00,-3.37800002098083,39.9879989624023,-2.79344367393033,-0.562927113097709,302.060744961478,2135574.38385241,100688.071304724,0.703508156196115,5.79699862782433e-05
2020-01-04 12:00:00,-3.37800002098083,39.9879989624023,-3.55499664623479,-0.00801993498366249,301.947732265048,2001028.64907756,100602.876109174,0.917629286008576,1.80100928243087e-05
2020-01-04 13:00:00,-3.37800002098083,39.9879989624023,-3.78899561764565,0.119095365729687,301.869151250014,1485398.43146201,100589.677966635,0.943173668228221,1.77849666640048e-05
2020-01-04 14:00:00,-3.37800002098083,39.9879989624023,-3.62400924055459,0.0981810961678753,301.393586145291,845753.932156318,100642.444193193,0.994613400881998,2.25126160303957e-07
2020-01-05 06:00:00,-3.37800002098083,39.9879989624023,0.0364750989791378,-0.2464969307664,300.931697736315,1214303.41717913,100778.377158264,0.65621900416584,2.8140770037982e-05
2020-01-05 07:00:00,-3.37800002098083,39.9879989624023,-0.0106063793614817,-0.456454468055758,300.915981533308,1742674.12438008,100765.258046519,0.667037980864603,2.07116067479549e-05
2020-01-05 10:00:00,-3.37800002098083,39.9879989624023,-1.62747287485387,-1.38075653713167,302.844995488616,2366444.3846459,100555.299571399,0.466253643202661,1.10311818548891e-05
